Date,LogReturn
1959-09-29,0.0075534724591515
1959-09-30,0.0014932141536734278
1959-10-01,-0.024572718895970347
1959-10-02,-0.011452550920233229
1959-10-05,-0.02801068208099
1959-10-06,-0.013095629478850235
1959-10-07,0.005882791913528251
1959-10-08,0.018230520630623914
1959-10-09,0.0059385591484604205
1959-10-12,-0.026632770256639127
1959-10-13,-0.011568493433839144
1959-10-14,0.0005221629266936034
1959-10-16,-0.021694732605124223
1959-10-19,-0.02679241202302851
1959-10-20,0.014596593452994355
1959-10-21,0.05430088752645812
1959-10-22,0.007981249736976004
1959-10-23,0.006490701217678918
1959-10-26,0.0193055117917309
1959-10-27,-0.0029713615830990747
1959-10-28,-0.009384541585481188
1959-10-29,0.00410792184204567
1959-10-30,0.023433867288964016
1959-11-02,-0.01274388230687773
1959-11-03,0.011254598106401836
1959-11-04,0.009708028675408542
1959-11-05,-0.0014770853083705404
1959-11-06,0.0003761923999761052
1959-11-09,0.006480487559469061
1959-11-10,0.008108188453443077
1959-11-12,-7.943337529781047e-05
1959-11-13,0.0005823649475011905
1959-11-16,0.0019563786808305395
1959-11-17,-0.00253874362833173
1959-11-19,0.009775712541870263
1959-11-20,-0.004968137970625897
1959-11-23,-0.004039982786490981
1959-11-24,-0.010372433419771454
1959-11-25,-0.013213502439268332
1959-11-26,0.00402828450697168
1959-11-27,0.014438073078522073
1959-11-30,0.009238613485011093
1959-12-01,0.007429318151221942
1959-12-02,0.004280202797136923
1959-12-03,0.0007809856435283535
1959-12-04,-0.0020579086934979784
1959-12-07,0.008309793591171122
1959-12-08,0.006906709928566457
1959-12-09,0.008184816902338632
1959-12-10,0.0034075915385960442
1959-12-11,0.005165483847709318
1959-12-14,0.01030159863971214
1959-12-15,-0.00197670555162599
1959-12-16,-0.005600989161710146
1959-12-17,-0.0031786101434763125
1959-12-18,-0.0034929670018568615
1959-12-21,0.002633512955020123
1959-12-22,0.002727481045340596
1959-12-23,0.00888827785830859
1959-12-28,0.028122270749951106
1959-12-29,0.0056951212372542415
1959-12-30,-0.003874003053322639
1959-12-31,0.013445985708925079
1960-01-04,0.019648208126681332
1960-01-05,-0.009124301474768615
1960-01-06,0.005267832414535434
1960-01-07,-0.0035876171410631486
1960-01-08,-0.008047998807255041
1960-01-11,-0.00736863067572191
1960-01-12,-0.007979887811242925
1960-01-13,0.020317915862055003
1960-01-14,7.11515884894709e-05
1960-01-15,-0.0028975889549576195
1960-01-18,-0.005318210071159513
1960-01-19,-0.012366926135030099
1960-01-20,-0.0020599326294874487
1960-01-21,0.007106972478023721
1960-01-22,0.00499772779113794
1960-01-25,-0.004925467364529368
1960-01-26,-0.00611238509595502
1960-01-27,0.00827777342612368
1960-01-28,0.0038140975772646968
1960-01-29,-0.0011498935220046747
1960-02-01,0.006308113914363922
1960-02-02,0.015035388791977411
1960-02-03,-0.00035201765145309594
1960-02-04,-0.0018324919964101127
1960-02-05,0.006726141201854219
1960-02-08,0.004242035076496009
1960-02-09,-0.0037283044468523485
1960-02-10,-0.004000052117706154
1960-02-11,-0.013355239676650754
1960-02-12,-0.004332618008954903
1960-02-15,-0.007471299121808883
1960-02-16,-0.010340754140433006
1960-02-17,-0.002626332913735041
1960-02-18,0.019197039633188417
1960-02-19,-0.007119685837989387
1960-02-22,-0.015614331052824504
1960-02-23,0.006357579234623323
1960-02-24,-0.0033564424068002197
1960-02-25,-0.008465296558367363
1960-02-26,0.002110792821606644
1960-02-29,0.005818376028049244
1960-03-01,0.006148182815584491
1960-03-02,0.0016944233333635594
1960-03-03,-0.0010647308930851196
1960-03-04,-0.0041730414538792004
1960-03-07,9.724552070533576e-05
1960-03-08,-0.0022634080023209435
1960-03-09,-0.013318650168940849
1960-03-10,-0.008306210432442285
1960-03-11,-0.017075545461548103
1960-03-14,0.005354900393803597
1960-03-15,0.015324342131896707
1960-03-16,0.004801276361876994
1960-03-17,-0.012371599141131284
1960-03-18,-0.004484480965603943
1960-03-21,0.012798777591296329
1960-03-22,0.00881106459268377
1960-03-23,0.0002702603114617119
1960-03-24,0.013178315031280974
1960-03-25,0.0018892608438809688
1960-03-28,-0.002350006532541471
1960-03-29,0.000727396196269936
1960-03-30,-0.0013582345042220112
1960-03-31,-0.0009955927634157646
1960-04-01,0.009719142315722351
1960-04-04,0.013241111239023162
1960-04-05,0.005020970688465631
1960-04-06,0.001746684105507157
1960-04-07,0.006839280687010785
1960-04-08,-0.0002811094471280029
1960-04-11,-0.0025100591430273766
1960-04-12,-0.0027283221289406967
1960-04-13,0.0034092411611084117
1960-04-14,0.005757499462869298
1960-04-19,0.009846347721449433
1960-04-20,-0.0042146277332921755
1960-04-21,-0.002951534266760092
1960-04-22,0.0022551069108036614
1960-04-25,-0.0010455512749780738
1960-04-26,-0.008075853806626121
1960-04-28,0.001756091159233364
1960-04-29,0.008316976502173112
1960-05-02,0.007051155660783515
1960-05-03,-0.011026287297297266
1960-05-04,0.01596706558018024
1960-05-05,-0.0003439144374786096
1960-05-06,-0.007781065525186648
1960-05-09,-0.010711193381029105
1960-05-10,0.010456943359435478
1960-05-11,0.0106003590931385
1960-05-12,0.0004344893103942482
1960-05-13,-0.008126393373279583
1960-05-16,0.008880584310744233
1960-05-17,-0.023110660661786575
1960-05-18,-0.0026219698512059963
1960-05-19,-0.013522808638459338
1960-05-20,0.029521661656003673
1960-05-23,0.038290417770686425
1960-05-24,-0.002222717074252145
1960-05-25,0.012911392662460663
1960-05-27,0.02454044326634186
1960-05-30,0.0033381153544418396
1960-05-31,-0.008948077514348896
